阳光灿烂的日子,1994,8.8,107
重庆森林,1994,8.8,108
唐伯虎点秋香,1993,8.7,109
爱在黎明破晓前,1995,8.8,110
人生果实,2017,9.5,111
一一,2000,9.1,112
菊次郎的夏天,1999,8.8,113
蝙蝠侠：黑暗骑士崛起,2012,8.8,114
小森林 冬春篇,2015,9.0,115
哈利·波特与阿兹卡班的囚徒,2004,8.8,116
消失的爱人,2014,8.7,117
无人知晓,2004,9.1,118
入殓师,2008,8.9,119
超能陆战队,2014,8.7,120
倩女幽魂,1987,8.7,121
侧耳倾听,1995,8.9,122
完美的世界,1993,9.1,123
借东西的小人阿莉埃蒂,2010,8.9,124
甜蜜蜜,1996,8.9,125
爱在日落黄昏时,2004,8.9,126
萤火之森,2011,8.9,127
驯龙高手,2010,8.7,128
玛丽和马克思,2009,8.9,129
幸福终点站,2004,8.8,130
天书奇谭,1983(中国大陆),9.2,131
哈利·波特与密室,2002,8.8,132
告白,2010,8.7,133
大鱼,2003,8.8,134
阳光姐妹淘,2011,8.8,135
射雕英雄传之东成西就,1993,8.7,136
怪兽电力公司,2001,8.7,137
时空恋旅人,2013,8.8,138
恐怖直播,2013,8.7,139
神偷奶爸,2010,8.6,140
傲慢与偏见,2005,8.7,141
玩具总动员3,2010,8.9,142
教父3,1990,9.0,143
釜山行,2016,8.6,144
一个叫欧维的男人决定去死,2015,8.9,145
哪吒闹海,1979,9.1,146
血战钢锯岭,2016,8.7,147
被解救的姜戈,2012,8.8,148
未麻的部屋,1997,9.0,149
七武士,1954,9.3,150
我是山姆,2001,9.0,151
头号玩家,2018,8.7,152
喜宴,1993,8.9,153
电锯惊魂,2004,8.7,154
风之谷,1984,8.9,155
上帝之城,2002,9.0,156
新世界,2013,8.9,157
卢旺达饭店,2004,8.9,158
英雄本色,1986,8.7,159
三块广告牌,2017,8.7,160
疯狂原始人,2013,8.7,161
谍影重重3,2007,8.8,162
模仿游戏,2014,8.7,163
花样年华,2000,8.7,164
黑客帝国3：矩阵革命,2003,8.8,165
纵横四海,1991,8.8,166
达拉斯买家俱乐部,2013,8.8,167
寄生虫,2019,8.8,168
头脑特工队,2015,8.7,169
岁月神偷,2010,8.7,170
心迷宫,2014,8.7,171
你的名字。,2016,8.4,172
记忆碎片,2000,8.7,173
忠犬八公物语,1987,9.2,174
海街日记,2015,8.8,175
肖申克的救赎,1994,9.7,1
霸王别姬,1993,9.6,2
阿甘正传,1994,9.5,3
这个杀手不太冷,1994,9.4,4
泰坦尼克号,1997,9.4,5
美丽人生,1997,9.6,6
千与千寻,2001,9.4,7
辛德勒的名单,1993,9.5,8
盗梦空间,2010,9.3,9
忠犬八公的故事,2009,9.4,10
星际穿越,2014,9.3,11
楚门的世界,1998,9.3,12
海上钢琴师,1998,9.3,13
